"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","total_arrests_prct","arrests_B_prct","arrests_W_prct","total_arrests_pop_prct","arrests_B_pop_prct","arrests_W_pop_prct","SIR_tot_pop","SIR_B","SIR_W"
"30",10400,2012,58,78,137,37,129,2819,2565,190,0.909897127,0.067399787,0.99927060539752,0.423048869438366,0.568927789934355,0.0485970699868752,0.305102577590742,0.0304081712213949,1.42234833162865,2.69499402240835,1.39187752718201
"31",10400,2013,49,96,148,37,129,3033,2802,176,0.923837784,0.058028355,0.99932478055368,0.330857528696826,0.648210668467252,0.0487949622498434,0.278250993753549,0.0342600192712608,1.42814028019985,2.45781196218171,1.56818871339883
"32",10400,2014,43,77,123,37,129,3061,2789,208,0.91114015,0.06795165,0.999187652315191,0.349309504467912,0.625507717303006,0.0401816340531182,0.206631427198462,0.0276074719443548,1.17604374446856,1.8251909424657,1.26368072258877
"33",10400,2015,56,141,197,37,129,2934,2647,222,0.902181322,0.075664622,0.99949264332826,0.284119736174531,0.715372907153729,0.0671415425513786,0.25213867627195,0.0532658380869631,1.96511149862984,2.2271598972931,2.43814474931645
"34",10400,2016,45,98,144,37,129,2857,2593,198,0.90759538,0.069303465,0.999306037473976,0.312283136710618,0.680083275503123,0.0504007560113402,0.227158001009591,0.037792603447611,1.47513895889018,2.00650371326674,1.72988618912473
"35",10400,2017,42,32,74,37,129,3073,2672,214,0.869508623,0.069638789,0.998650472334683,0.566801619433198,0.431848852901485,0.0240799192997299,0.196170014012144,0.0119755997155795,0.704775679911842,1.73278449272115,0.548160821552944
"36",10400,2018,46,57,103,37,129,3031,2584,256,0.852523919,0.084460574,0.999030067895247,0.446168768186227,0.55286129970902,0.0339810629804361,0.179617336977743,0.022057969892806,0.994564245339171,1.58657345112712,1.00966257936132
"37",10501,2010,232,244,476,37,129,3431,2103,1079,0.612940834,0.314485573,0.999789960092417,0.487292585591262,0.512497374501155,0.138731019206668,0.214993976461866,0.116019209738006,4.06040598264543,1.89905796927005,5.31056371591751
"38",10501,2011,192,310,502,37,129,3970,2159,1518,0.543828715,0.382367758,0.999800836486756,0.382393945429197,0.617406891057558,0.126445177703332,0.126473881825967,0.14357834282803,3.70082162561231,1.1171533134963,6.57203181728213
"39",10501,2012,178,351,535,37,129,4146,2350,1403,0.566811384,0.338398456,0.999813119043169,0.332648103158288,0.655952158475051,0.129036926268059,0.126861948542513,0.149355346580997,3.7766774179067,1.12058113599996,6.83646342810332
